MAP_PAR_ID,j_new_cons,j_renovati,j_occupanc,ownertype,j_zip,Year,valuation,Long,Lat
1202636000,FALSE,FALSE,1-2FAM,*,2121,2013,700,-71.08262727,42.31077116
2008254000,FALSE,FALSE,1-2FAM,*,2132,2017,400,-71.16604312,42.28530329
1602272000,FALSE,TRUE,1-2FAM,*,2122,2020,26500,-71.05358892,42.29206816
1602067000,FALSE,FALSE,1-2FAM,*,2122,2018,199,-71.05505583,42.28916689
1602479000,FALSE,TRUE,1-2FAM,*,2122,2019,19545,-71.04677008,42.29030152
1405007000,FALSE,TRUE,1-2FAM,*,2126,2014,2500,-71.09579559,42.28188326
2100213000,FALSE,FALSE,Other,t,2215,2016,0,-71.10427608,42.34722698
1302276000,FALSE,TRUE,1-3FAM,c,2125,2020,0,-71.05074097,42.30873037
2008660000,FALSE,TRUE,Multi,*,2132,2011,500,-71.16667772,42.28183446
1600383000,FALSE,TRUE,1-2FAM,*,2122,2024,8534,-71.05447574,42.29484427
1600282000,FALSE,FALSE,1-2FAM,*,2122,2011,0,-71.05223665,42.29564158
1900847000,FALSE,FALSE,1-2FAM,t,2130,2015,5000,-71.11232371,42.31735791
1501417000,FALSE,TRUE,1-3FAM,*,2122,2022,1480,-71.06504545,42.30517493
1500988000,FALSE,FALSE,1-2FAM,t,2122,2011,8900,-71.06992555,42.30291855
1807910000,FALSE,TRUE,1-2FAM,c,2136,2016,1000,-71.11938523,42.27237882
1807413000,FALSE,FALSE,1Unit,*,2131,2010,8860,-71.11062802,42.27366246
2009615000,FALSE,FALSE,1-2FAM,*,2132,2023,13970,-71.16152386,42.27241707
2009340000,FALSE,FALSE,1-2FAM,*,2132,2019,0,-71.1606758,42.27619618
1800719000,FALSE,FALSE,1-2FAM,*,2126,2023,3000,-71.09010265,42.27593667
1800688000,FALSE,TRUE,1-3FAM,o,2126,2022,500,-71.08860259,42.27684999
1807416010,FALSE,TRUE,1-2FAM,*,2131,2016,3000,-71.11087488,42.2732335
2011729000,FALSE,TRUE,1-2FAM,*,2132,2013,4100,-71.15853712,42.25910807
