parcel_id,latitude,longitude,yearbuilt,usage,proptype,style,FULL_ADDRESS,STREET_NUMBER,FULL_STREET_NAME,MAILING_NEIGHBORHOOD,STREET_BODY,ZIP_CODE,Year,SalePrice
102703000,42.379978,-71.03924,1920,CONDOMINIUM,RCD,ROW-END,379 Meridian St,379,Meridian St,East Boston,Meridian,2128,2018,329500
102703000,42.379978,-71.03924,1920,CONDOMINIUM,RCD,ROW-END,379 Meridian St,379,Meridian St,East Boston,Meridian,2128,2019,430000
102709000,42.379956,-71.039118,1900,3-FAM RES,R3F,SEMI DETACHD,391 Meridian St,391,Meridian St,East Boston,Meridian,2128,2005,504000
102709000,42.379956,-71.039118,1900,3-FAM RES,R3F,SEMI DETACHD,391 Meridian St,391,Meridian St,East Boston,Meridian,2128,2006,595000
102709000,42.379956,-71.039118,1900,3-FAM RES,R3F,SEMI DETACHD,391 Meridian St,391,Meridian St,East Boston,Meridian,2128,2010,172000
102716000,42.380333,-71.038951,1880,3-FAM RES,R3F,SEMI DETACHD,5 Marion St,5,Marion St,East Boston,Marion,2128,2003,425000
102718000,42.380119,-71.038659,1900,3-FAM RES,R3F,DECKER,11-13 Marion St,45609,Marion St,East Boston,Marion,2128,2002,432000
102719000,42.28689,-71.120428,1987,CONDOMINIUM,RCD,TOWNHOUSE,15 Marion St,15,Marion St,East Boston,Marion,2128,2006,345000
102719000,42.28689,-71.120428,1987,CONDOMINIUM,RCD,TOWNHOUSE,15 Marion St,15,Marion St,East Boston,Marion,2128,2009,167000
102719000,42.28689,-71.120428,1987,CONDOMINIUM,RCD,TOWNHOUSE,15 Marion St,15,Marion St,East Boston,Marion,2128,2018,380000
102721000,42.379734,-71.038523,1880,3-FAM RES,R3F,SEMI DETACHD,19 Marion St,19,Marion St,East Boston,Marion,2128,2001,359500
102722000,42.379647,-71.038463,1880,3-FAM RES,R3F,SEMI DETACHD,21 Marion St,21,Marion St,East Boston,Marion,2128,2001,335600
102731000,42.379946,-71.038398,1880,2-FAM RES,R2F,CONVENTIONAL,20 Marion St,20,Marion St,East Boston,Marion,2128,2004,365000
102736000,42.380461,-71.038508,1880,3-FAM RES,R3F,ROW-END,19 White St,19,White St,East Boston,White,2128,2004,410000
102743000,42.380555,-71.038052,1920,1-FAM RES,R1F,ROW-MIDDLE,33 White St,33,White St,East Boston,White,2128,2020,633000
102751000,42.379826,-71.03826,1880,2-FAM RES,R2F,CONVENTIONAL,50 Monmouth St,50,Monmouth St,East Boston,Monmouth,2128,2013,307000
