tract,total number of permits,corporate permits,individual permits,trust permits,condo association permits,city of boston permits,total declared valuation,number of new builds,number of renovations,median household income,population,normalized number of permits,total buyers,total buyers normalized
25025070600,421,53,221,127,17,3,228762985.48999998,1,343,28286,1225,0.344,641,0.523265306
25025100603,329,61,196,58,10,4,224765429.29000005,25,132,23368,1051,0.313,394,0.374881066
25025010103,126,6,9,110,1,0,2027689432.1799996,7,62,4014,1936,0.065,1,0.000516529
25025070402,29,21,3,3,0,2,3359354431.2400002,9,18,15830,1699,0.017,40,0.023543261
25025140107,511,21,449,37,1,3,48614914.85000003,7,176,16581,1286,0.397,308,0.239502333
25025051101,766,93,483,184,2,4,450990554.6,31,304,22930,3228,0.237,442,0.13692689
25025981202,30,9,8,1,0,12,1094228176,0,14,0,2,15,158,79
25025092101,888,148,549,171,14,6,917929540.8,35,407,24934,3362,0.264,738,0.219512195
25025110301,540,39,435,53,10,3,139802083.04000002,26,193,16674,1168,0.462,316,0.270547945
25025100500,835,101,624,92,7,11,186386233.98999995,33,372,23048,3020,0.276,529,0.175165563
25025981000,4,0,2,0,0,2,2579005,0,2,0,6,0.667,8,1.333333333
25025091001,466,82,307,62,12,3,1070458690.5600001,30,227,29424,1664,0.28,422,0.253605769
25025040401,326,26,191,89,14,6,119185419,5,202,32476,1384,0.236,484,0.349710983
25025100601,763,66,568,112,17,0,58386183.55000002,5,335,15680,2586,0.295,695,0.268754834
25025090100,519,83,389,36,1,10,67429379.99,11,246,4714,2302,0.225,275,0.119461338
25025091100,646,113,385,124,23,1,129149492.44000004,14,317,19890,2483,0.26,624,0.251308901
25025091200,390,61,242,74,10,3,76119661.23,6,222,33529,1549,0.252,327,0.211103938
25025091400,307,56,231,19,0,1,45140479.57000001,5,126,17167,1371,0.224,123,0.089715536
25025091500,494,64,337,78,13,2,125021785.7,13,229,3982,2175,0.227,421,0.193563218
25025091600,361,64,228,58,7,4,85578565.25000001,5,163,24207,1618,0.223,314,0.194066749
25025091800,457,65,348,35,3,6,71321727.64000003,20,192,26693,1748,0.261,246,0.140732265
25025080300,211,54,123,24,4,6,155632912.4,9,82,15997,1029,0.205,132,0.128279883
25025080401,118,65,33,12,4,4,337117820.8,10,67,11029,1375,0.086,90,0.065454545
25025081200,193,24,139,22,4,4,207305609,2,81,11223,1562,0.124,142,0.090909091
25025081400,457,89,260,84,14,10,139638353.8,20,212,24798,1850,0.247,350,0.189189189
25025081500,242,37,154,30,6,15,64322754.63999999,19,105,15473,1124,0.215,217,0.193060498
25025081700,348,62,243,34,4,5,132210626.97999999,8,166,10767,1798,0.194,226,0.125695217
25025081800,441,74,310,40,8,9,130146994.37999998,21,193,14672,1666,0.265,285,0.171068427
25025081900,327,61,223,36,3,4,112310835.96999997,14,161,29909,1627,0.201,178,0.109403811
25025082000,408,81,281,41,3,2,111521168.3,11,171,27243,1477,0.276,215,0.145565335
25025091900,500,63,377,35,2,23,75231361.78000003,20,185,9733,1952,0.256,269,0.137807377
25025090200,197,59,123,9,1,5,52317309.269999996,2,80,18344,1085,0.182,113,0.104147465
25025090300,354,92,239,15,3,5,87788766.85999997,11,149,9313,1644,0.215,197,0.119829684
25025090400,460,93,325,32,2,8,124502090.73000005,26,150,21588,1918,0.24,266,0.138686131
25025090600,338,95,209,26,2,6,78103900.05999999,14,123,21347,1113,0.304,146,0.131176999
25025090700,613,172,317,97,24,3,527521448.6,22,317,29827,2471,0.248,565,0.228652367
25025100300,549,49,449,46,3,2,79708642.09,14,225,33392,1706,0.322,315,0.184642438
25025100400,758,70,600,81,5,2,129209786.9,14,328,24815,2327,0.326,319,0.137086377
25025100800,927,50,732,133,9,3,151986218.90000004,17,434,25278,2817,0.329,773,0.274405396
25025101002,682,36,589,50,1,6,216430759.3,12,206,15700,2438,0.28,246,0.100902379
25025100900,801,58,646,85,6,6,98534460.75,19,288,11480,1939,0.413,436,0.224858174
25025101001,972,48,856,62,3,3,154992154.66999993,11,336,15912,2493,0.39,371,0.148816687
25025110601,719,14,639,63,3,0,50212671.620000005,10,275,46035,1214,0.592,299,0.246293245
25025120400,863,78,535,205,37,8,248031726.18000004,22,494,26109,2765,0.312,1008,0.364556962
25025120700,195,28,112,47,6,2,103740339.53999999,5,99,28282,1016,0.192,261,0.256889764
25025130200,1203,59,996,129,14,5,119878478.01000005,24,527,19785,2218,0.542,616,0.277727683
25025130402,1097,72,937,82,4,2,428301467.8499999,46,359,32858,2371,0.463,723,0.304934627
25025130300,1184,31,1004,138,7,4,163397633.25000003,28,532,12778,2116,0.56,597,0.282136106
25025140102,977,73,820,77,4,3,158476429.12000003,52,325,9540,2347,0.416,513,0.218576907
25025070104,213,121,52,22,11,7,8961581873.549997,13,183,60797,1500,0.142,915,0.61
25025061204,35,24,7,2,2,0,2024791878,6,27,17023,488,0.072,283,0.579918033
25025060604,97,52,26,7,2,10,4359213100,17,58,46935,1400,0.069,224,0.16
